csv_note,speed_0,speed_1,speed_2,speed_3,speed_4
Logistic Regression Classic,192,32,27,20,20
XGB Classic,595,33,17,15,10
Random Forest Classic,446,68,46,31,27
LDA Classic,494,19,14,20,16
Logistic Regression TS Diff,282,56,31,22,19
XGB TS Diff,671,47,3,2,7
Random Forest TS Diff,657,49,10,5,7
LDA TS Diff,287,32,14,8,1
Logistic Regression TS MA,216,32,21,13,15
XGB TS MA,648,33,12,12,9
Random Forest TS MA,444,68,51,23,30
LDA TS MA,139,34,22,24,17
Logistic Regression Classic,192,32,27,20,20
XGB Classic,595,33,17,15,10
Random Forest Classic,446,68,46,31,27
LDA Classic,494,19,14,20,16
Logistic Regression TS Diff,282,56,31,22,19
XGB TS Diff,671,47,3,2,7
Random Forest TS Diff,657,49,10,5,7
LDA TS Diff,287,32,14,8,1
Logistic Regression TS MA,216,32,21,13,15
XGB TS MA,648,33,12,12,9
Random Forest TS MA,444,68,51,23,30
LDA TS MA,139,34,22,24,17
